順位,作品タイトル(続編物はある時点での名前になっています）,Twitterアカウント,フォロワー数
289,明治東亰恋伽,meikoi_staff,51458
290,死神坊ちゃんと黒メイド,bocchan_anime,51248
291,ヤマノススメ セカンドシーズン,yamanosusume,51214
292,田中くんはいつもけだるげ,tanaka_anime,51127
293,亜人,anime_ajin,50618
294,桜Trick,sakuratrick_pr,50301
295,虚構推理,kyokou_suiri,50258
296,プリマドール,primadoll_pr,50075
297,かくしごと,kakushigoto_pr,50055
298,すばらしきこのせかい The Animation,TWEWY_PR,50046
299,だがしかし,anime_dagashi,50009
300,ヴィンランド・サガ,V_SAGA_ANIME,49770
301,ドロヘドロ,dorohedoro_PR,49627
302,戦国無双,sengoku_musou,49399
303,"Wake Up, Girls!",wakeupgirls_PR,49372
304,賭ケグルイ,kakegurui_anime,49242
305,ロクでなし魔術講師と禁忌教典(アカシックレコード),rokudenashi_tv,49179
306,暁のヨナ,yona_anime,49033
307,パリピ孔明,paripikoumei_PR,49024
308,銀河英雄伝説 Die Neue These 邂逅,gineidenanime,48668
309,ゴブリンスレイヤー,GoblinSlayer_GA,48624
310,終末のハーレム,harem_official_,48487
311,ACTORS -Songs Connection-,ACTORS_info,48411
312,色づく世界の明日から,iroduku_anime,48363
313,世話やきキツネの仙狐さん,sewayakisenko,48230
314,トリニティセブン,TrinitySeven_PR,48118
315,SUPER LOVERS,SUPERLOVERSinfo,47960
316,探偵歌劇ミルキィホームズTD,milkyholmes,47880
317,学戦都市アスタリスク,asterisk_war,47836
318,マジきゅんっ！ルネッサンス,magic_kyun,47689
319,俺を好きなのはお前だけかよ,oresuki_anime,47687
320,アイドルマスター シンデレラガールズ劇場,cingeki_anime,47290
321,あんハピ♪,annehappy_anime,47275
322,組長娘と世話係,kumichomusume,47224
323,ガンダム Gのレコンギスタ,gundam_reco,46614
324,社畜さんは幼女幽霊に癒されたい。,shachisaretai,46494
325,秘密結社 鷹の爪 ～ゴールデン・スペル～,_takanotsume_,46161
326,ブレイブウィッチーズ,w_witch_anime,46063
327,SERVAMP‐サーヴァンプ‐,anime_servamp,46049
328,デジモンアドベンチャー：,digimon_tv,46023
329,推しが武道館いってくれたら死ぬ,anime_oshibudo,45772
330,citrus,citrus_anime,45509
331,ジョーカー・ゲーム,jokergame_anime,45253
332,Thunderbolt Fantasy 東離劍遊紀,TBF_PR,45227
333,アズールレーン びそくぜんしんっ！,azurlane_bisoku,44987
334,安達としまむら,adashima_staff,44886
335,異世界魔王と召喚少女の奴隷魔術,isekaimaou,44803
336,リトルウィッチアカデミア,LWA_jp,44609
337,あひるの空,ahirunosora_tv,44605
338,恋する小惑星,koiastv,44349
339,時光代理人 -LINK CLICK-,linkclick_anime,44134
