順位,作品タイトル(続編物はある時点での名前になっています）,Twitterアカウント,フォロワー数
1069,アクションヒロイン チアフルーツ,cfru_tokisai,5272
1070,セントールの悩み,Centaur_anime,5229
1071,ナゾトキネ,nazotokine,5200
1072,おにぱん！,tv_anime_onipan,5181
1073,バトルアスリーテス大運動会 ReSTART!,daiundokai_r,5152
1074,Dimension ハイスクール,dimension_hs,5138
1075,コンビニカレシ,cvk_kd,5128
1076,聖剣使いの禁呪詠唱＜ワールドブレイク＞,warubure,5122
1077,Back Street Girls -ゴクドルズ-,inuganekikaku,5095
1078,夜ノヤッターマン,yoru_yatterman,5049
1079,THE GOD OF HIGH SCHOOL,GohAnimeJP,5033
1080,Shenmue the Animation,shenmue_anime,5020
1081,はてな☆イリュージョン,hatena_anime,4958
1082,天空侵犯,tenkuu_PR,4892
1083,爆丸バトルプラネット,bakugan_jp,4822
1084,むさしの！,musasi_no,4787
1085,コタローは1人暮らし,kotaro1_anime,4762
1086,アイドルメモリーズ,idolmemories_PR,4752
1087,Hi ☆ sCoool ! セハガール,SHG_Official,4747
1088,霊剣山 星屑たちの宴,Reikenzan,4701
1089,まけるな!! あくのぐんだん!,akunogundan,4666
1090,CIRCLET PRINCESS(サークレット・プリンセス),cirpri_anime,4590
1091,この男子、魔法がお仕事です。,konodan_project,4588
1092,アキンド星のリトル・ペソ,LINE_PESO_JP,4523
1093,ケイオスドラゴン 赤竜戦役,chaosdragon_red,4522
1094,直感×アルゴリズム♪,algorithm_jc,4510
1095,戦国BASARA Judge End,basara_je,4498
1096,RobiHachi,RobiHachi_anime,4470
1097,東京ESP,tokyoesp_anime,4396
1098,超可動ガール1/6,choukadou_anime,4351
1099,美少女遊戯ユニット クレーンゲール Galaxy,cranegamegirls,4345
1100,ARP Backstage Pass,arp_anime,4342
1101,バーナード嬢曰く。,anime_bernard,4279
1102,失われた未来を求めて,waremete_anime,4257
1103,立花館ToLieあんぐる,tachibana_kan,4228
1104,一人之下 the outcast,hitorinoshita,4206
1105,デュエル・マスターズ キングMAX,duema_anime,4205
1106,純潔のマリア,JunketsuMariaTV,4158
1107,ビキニ・ウォリアーズ,bikiniwarriors,4134
1108,聖戦ケルベロス 竜刻のファタリテ,cerberus_anime,4127
1109,健全ロボダイミダラー,midara_anime,4109
1110,Cutie Honey Universe,CutieHoney_U,4088
1111,ピーター・グリルと賢者の時間,petergrillanime,4068
1112,MUTEKING THE Dancing HERO,MUTEKING2021,3986
1113,SUPER SHIRO,supershiro_info,3978
1114,ID-0,ID_0_anime,3940
1115,タイムボカン24 逆襲の三悪人,timebokan_3aku,3935
1116,アクエリオンロゴス,AQlogos,3930
1117,ピアシェ～私のイタリアン～,piace_anime,3923
1118,ゲキドル,gekidol_anime,3900
1119,でーじミーツガール,dejimeetsgirl,3889
1120,小森さんは断れない！,komori_anime,3849
1121,つくもがみ貸します,tsukumogami_tv,3825
1122,奴隷区-The Animation-,doreiku_anime,3824
1123,マジカパーティ(MAZICA PARTY),mazica_party,3763
1124,ぬるぺた,nullpeta,3748
1125,ラブ米(ラブコメ)-WE LOVE RICE-,lovekome_anime,3732
1126,A.I.C.O. incarnation,Project_AICO,3728
1127,ワカコ酒,anime_wakakozak,3676
1128,URAHARA,urhr_pt,3651
1129,永遠の831,eienno831,3648
1130,僧侶と交わる色欲の夜に…,souryo_anime,3575
1131,ロード オブ ヴァーミリオン 紅蓮の王,LoVanimation,3544
1132,兄に付ける薬はない！3-快把我哥帯走3-,anitsuke_info,3512
1133,白銀の意思 アルジェヴォルン,ARGEVOLLEN,3494
1134,トリアージX(イクス),triagex,3462
1135,ダイナ荘びより,dinosaur_biyori,3430
1136,トミカハイパーレスキュー ドライブヘッド 機動救急警察,tbs_dh,3409
1137,禍つヴァールハイト -ZUERST-,magatsu_anime,3406
1138,社長、バトルの時間です！,schbt_anime,3400
1139,お昼のショッカーさん,Shocker_SAN1111,3360
1140,ひめゴト,himegoto_anime,3346
1141,テスラノート,teslanote,3346
1142,まえせつ！,maesetsu_anime,3343
1143,OZMAFIA!!,OZMAFIAanime,3325
1144,おこしやす、ちとせちゃん,chitose_anime,3247
1145,アンゴルモア 元寇合戦記,angolmois_anime,3105
1146,キャップ革命 ボトルマンDX,bottleman_info,3071
1147,ISUCA,isuca_official,3068
1148,スカートの中はケダモノでした,sukakeda_anime,3057
1149,蒼天の拳 REGENESIS,soutenregenesis,3032
1150,実験品家族 -クリーチャーズ・ファミリー・デイズ-,jikkenhin,2977
1151,日本沈没2020,japansinks2020,2965
1152,フランチェスカ,francesca_hb,2945
1153,なつなぐ！,NatsunaguPR,2935
1154,時間の支配者,chronos_PR,2934
1155,走り続けてよかったって。,hashiyoka,2923
1156,ジビエート,gibiateproject,2874
1157,臨死!!江古田ちゃん,ekodachan_anime,2794
1158,温泉幼精ハコネちゃん,onsenyosei,2678
1159,おとなの防具屋さん(第2期),otonabougu,2672
1160,どすこいすしずもう,sushisumo_jp,2648
1161,ナースウィッチ小麦ちゃんR,KomugichanR,2642
1162,幻想三國誌 -天元霊心記-,gensou_3gokushi,2638
1163,縁結びの妖狐ちゃん,enmusuyouko,2634
1164,ラディアン,nep_radiant,2624
1165,ユーレイデコ,YUREIDECO,2605
1166,その時、カノジョは。,snkn_pj,2596
1167,M３ ～ソノ黒キ鋼～,M3_anime,2580
1168,ガンスリンガー ストラトス,guns_project_17,2548
1169,踏切時間,fumikiri_anime,2545
1170,ミリオンドール,million_doll,2520
1171,セスタス -The Roman Fighter-,cestvs_anime,2425
1172,かえるのピクルス - きもちのいろ -,pickles_anime,2404
1173,カイトアンサ,kaitoansa,2352
1174,鬼平,onihei_anime,2337
1175,不思議なソメラちゃん,anime_somera,2267
1176,お前はまだグンマを知らない,omagun_anime,2204
1177,RErideD－刻越えのデリダ－,Derrida_2060,2028
1178,VENUS PROJECT ―CLIMAX―,formula_venus,1998
1179,愛・天地無用！,ai_tenchi,1984
1180,DD北斗の拳2,DDhokuto_anime,1952
1181,おじさんとマシュマロ,anime_ojms,1939
1182,みんな集まれ！ファルコム学園SC,falgaku_anime,1926
1183,Bloodivores(ブラッディヴォーレス),bloodivores,1921
1184,お見合い相手は教え子、強気な、問題児。,omitsuyo_anime,1870
1185,でびどる！,AnimeDevidol,1732
1186,銀の墓守り(ガーディアン),ginno_guardian,1643
1187,超・少年探偵団NEO,tanteidan_NEO,1628
1188,ジモトがジャパン,jimoto_anime,1610
1189,ROBO MASTERS THE ANIMATION SERIES,robomas_anime,1586
1190,最響カミズモード！,kamizmode,1578
1191,フライングベイビーズ,hulaingbabies,1568
1192,Bラッパーズ ストリート,BRS_PR,1567
1193,アイドールズ！,wsy_idolls,1468
1194,クリオネの灯り,clionenoakari,1449
1195,群青のマグメル,magmell_anime,1421
1196,ルガーコード 1951,animax_seiyuu,1402
1197,其れ、則ちスケッチ。,SketchSore,1321
1198,俺たちゃ妖怪人間,bem_50th,1291
1199,侍霊演武 SOUL BUSTER,SOULBUSTER_,1283
1200,オンエアできない！,oadekinai,1176
1201,てれびあにめ大正メビウスラインちっちゃいさん,chicchaisan,1102
1202,グラゼニ,sptv_gurazeni,1102
1203,SUSHI POLICE,SushiPoliceJP,1022
1204,エタニティ ～深夜の濡恋ちゃんねる♡〜,Eternity_Anime,1004
1205,ほら、耳がみえてるよ！,horamimi_anime,974
1206,HERO MASK,heromask_anime,964
1207,5億年ボタン～菅原そうたのショートショート～,500000000button,864
1208,モモキュンソード,momokyun01,856
1209,VAMPIRE HOLMES(ヴァンパイアホームズ),VAMPIRE_HOLMES,833
1210,gdメン gdgd men's party,gdmen2018,803
1211,博多明太！ぴりからこちゃん,Pirikarakochan,746
1212,無責任ギャラクシー☆タイラー,anime_musekinin,743
1213,爆釣バーハンター,barhunter_off,743
1214,悪偶 -天才人形-,aguu_anime,738
1215,狐狸之声,kitsune2018,732
1216,まめねこ,anime_mameneko,687
1217,電波教師,denpa_kyoshi,617
1218,われしょ！～我ら！小動物愛護委員会～,eifami,503
1219,Charlotte(シャーロット),Charlotte_AB_,233
1220,金田一少年の事件簿R(2期),animekindaichiR,226
1221,スペースバグ,Spacebug_jp,215
1222,逆転裁判,anime_gyakuten,179
1223,美少女戦士セーラームーンCrystal,sailormoon_20th,124
1224,プリパラ 2期,pripara_PR,110
1225,ぼのぼの,BONOBONO_phx,30
1226,ぱすてるメモリーズ,pasumemo,14
1227,浦和の調ちゃん,urawa_usagi,11
1228,ルパン三世,lupinIII_4th,5
1229,タイムボカン24(トゥエンティーフォー),timebokan_24,3
1230,けものフレンズプロジェクト,kemo_anime,0
